,price_NSW,price_QLD,price_SA,price_VIC
2019-11-29 11:00:00+00:00,72.57129733333333,70.41400636363636,76.41517545454546,74.72139333333334
2019-11-29 12:00:00+00:00,75.06835642857142,71.46362416666666,82.66796416666666,80.54181399999999
2019-11-29 13:00:00+00:00,72.24919785714286,69.5517,86.01408249999999,79.386892
2019-11-29 14:00:00+00:00,70.30741749999999,68.44589916666668,86.34058416666666,80.56322000000002
2019-11-29 15:00:00+00:00,66.22863416666667,67.54327636363635,83.64403909090908,75.08848100000002
2019-11-29 16:00:00+00:00,54.16651727272727,56.342940999999996,70.64862777777779,59.66664199999999
2019-11-29 17:00:00+00:00,54.377004,53.59267727272727,69.02345222222223,57.68201363636364
2019-11-29 18:00:00+00:00,61.55100400000001,57.60887499999999,74.653936,63.795149090909085
2019-11-29 19:00:00+00:00,66.036369,60.99298500000001,84.855395,73.922518
2019-11-29 20:00:00+00:00,61.117203,52.950012,76.175928,66.425734
2019-11-29 21:00:00+00:00,73.38999999999999,51.833994000000004,78.42283699999999,70.70095599999999
2019-11-29 22:00:00+00:00,51.275000000000006,42.640391,53.084655,49.411345
2019-11-29 23:00:00+00:00,42.87870000000001,38.58486454545455,36.38123909090909,36.97314090909091
2019-11-30 00:00:00+00:00,37.45399999999999,35.782650000000004,19.424729000000006,22.880886666666665
2019-11-30 01:00:00+00:00,39.865,38.614673,14.075000000000001,14.86687833333333
2019-11-30 02:00:00+00:00,41.114,41.555001999999995,-5.965,-0.10499166666666711
2019-11-30 03:00:00+00:00,39.09400000000001,42.311658,-49.644999999999996,-29.879104545454553
2019-11-30 04:00:00+00:00,38.662000000000006,44.017005000000005,-1.4449999999999998,7.118021999999999
2019-11-30 05:00:00+00:00,42.5209090909091,49.991808181818186,24.707307777777782,27.819435454545452
2019-11-30 06:00:00+00:00,58.459166666666675,78.61554,48.333765000000014,50.054409090909104
2019-11-30 07:00:00+00:00,61.110600999999996,93.49300000000001,53.681143,55.582725
2019-11-30 08:00:00+00:00,72.58567000000001,89.004816,65.259379,66.30914299999999
2019-11-30 09:00:00+00:00,83.659381,90.98499999999999,78.18610600000001,78.13017199999999
2019-11-30 10:00:00+00:00,62.834024,71.22481300000001,58.926559,58.27283799999999
2019-11-30 11:00:00+00:00,55.070077272727275,61.06333999999999,45.95859333333333,49.878760909090914
2019-11-30 12:00:00+00:00,55.288,65.78201099999998,50.877819,51.35471199999999
2019-11-30 13:00:00+00:00,48.241,51.800494,49.09656400000001,46.92828800000001
2019-11-30 14:00:00+00:00,43.919491111111114,45.727489000000006,43.391873000000004,40.431253
2019-11-30 15:00:00+00:00,47.43000000000001,48.57089700000001,36.71633200000001,31.861431
2019-11-30 16:00:00+00:00,40.735,41.702522,22.853800999999997,21.696389999999994
2019-11-30 17:00:00+00:00,38.763333333333335,39.54852636363637,12.45108090909091,10.121002
2019-11-30 18:00:00+00:00,38.662,39.202372727272724,11.588927272727274,9.980005
2019-11-30 19:00:00+00:00,39.101000000000006,37.45275300000001,22.018448999999997,20.917752
2019-11-30 20:00:00+00:00,40.680555999999996,36.49177,33.42794299999999,33.606898
2019-11-30 21:00:00+00:00,37.782000000000004,33.201434,31.232045,32.221812
2019-11-30 22:00:00+00:00,31.233999999999998,27.554894,25.149247000000003,26.021981
2019-11-30 23:00:00+00:00,23.16383818181818,21.081805454545453,-77.55802636363637,14.108091818181817
2019-12-01 00:00:00+00:00,35.25575166666666,33.37423916666666,-145.49777666666668,20.654654999999998
2019-12-01 01:00:00+00:00,34.83463166666666,34.634592500000004,-163.34461583333336,-10.580858333333337
2019-12-01 02:00:00+00:00,37.22999000000001,38.57039916666666,-180.3945541666666,-37.26650083333333
2019-12-01 03:00:00+00:00,38.80583333333333,44.12674333333333,-318.91327999999993,15.173999999999996
2019-12-01 04:00:00+00:00,41.26166666666667,46.90500750000001,-271.1298950000001,27.124004999999993
2019-12-01 05:00:00+00:00,45.448461538461544,51.34308615384615,-122.38475384615387,41.091619090909084
2019-12-01 06:00:00+00:00,52.218571428571416,92.48930500000003,45.850902857142856,49.81940583333333
2019-12-01 07:00:00+00:00,54.547912857142855,76.19856000000001,75.1887623076923,49.61339
2019-12-01 08:00:00+00:00,62.22731142857141,99.33714285714284,112.17755333333336,58.54796166666665
2019-12-01 09:00:00+00:00,55.714347142857136,76.04427428571428,277.3309116666666,52.718624999999996
2019-12-01 10:00:00+00:00,45.81787153846154,64.64999714285715,128.276835,43.240422500000015
2019-12-01 11:00:00+00:00,38.501538461538466,57.74653866666667,29.453980769230768,26.26050153846154
2019-12-01 12:00:00+00:00,38.521666666666675,59.36340812499999,29.39486357142857,26.479457142857143
2019-12-01 13:00:00+00:00,36.65666666666667,42.375910714285716,113.13196285714285,29.284587692307692
2019-12-01 14:00:00+00:00,36.26545454545454,38.53761333333333,26.13089285714285,19.30228090909091
2019-12-01 15:00:00+00:00,34.791,37.331599999999995,17.93134363636364,10.13864
2019-12-01 16:00:00+00:00,28.873000000000008,30.222285,9.691341999999999,3.2233549999999997
2019-12-01 17:00:00+00:00,28.355,29.230399,15.26641125,10.3637525
2019-12-01 18:00:00+00:00,39.14301400000001,40.611106,35.035,30.948817499999997
2019-12-01 19:00:00+00:00,52.3075,53.880455,56.28499999999999,50.5472225
2019-12-01 20:00:00+00:00,45.54242142857142,43.396491250000004,45.38,44.5667925
2019-12-01 21:00:00+00:00,40.10333333333333,39.46999999999999,43.830000000000005,40.38754875
2019-12-01 22:00:00+00:00,31.13657666666667,29.209999999999997,29.685000000000002,29.938177500000005
