,price_NSW,price_QLD,price_SA,price_VIC
2019-12-29 11:00:00+00:00,53.918528947368415,51.003777368421055,89.03104368421053,84.80665052631578
2019-12-29 12:00:00+00:00,52.538821,51.2900825,89.07414899999999,86.7101665
2019-12-29 13:00:00+00:00,55.3899565,52.793926,100.2713135,95.64163749999997
2019-12-29 14:00:00+00:00,52.64228549999999,50.073632499999995,69.94755599999999,65.11570699999999
2019-12-29 15:00:00+00:00,48.1742615,46.529213000000006,56.444434499999986,52.23894249999999
2019-12-29 16:00:00+00:00,44.1138735,42.950222499999995,45.09657550000001,44.4386545
2019-12-29 17:00:00+00:00,37.97117647058823,36.9612105882353,35.59640294117647,36.7699305882353
2019-12-29 18:00:00+00:00,42.33571428571428,41.46228785714287,39.710622857142866,42.90395285714285
2019-12-29 19:00:00+00:00,41.88999999999999,40.27607142857142,46.29007142857143,49.2430507142857
2019-12-29 20:00:00+00:00,38.73857142857143,34.76974714285715,75.10467571428572,78.12130785714285
2019-12-29 21:00:00+00:00,39.07857142857143,34.204525714285715,145.59574357142859,143.65264428571427
2019-12-29 22:00:00+00:00,45.60665928571429,40.52145,125.39747642857141,123.12760642857141
2019-12-29 23:00:00+00:00,51.78677733333334,45.191204,111.260856,121.10239200000001
2019-12-30 00:00:00+00:00,50.90437687499998,42.706156875,102.41919062500001,112.4149825
2019-12-30 01:00:00+00:00,54.915523750000006,46.10205875,83.3407925,92.399434375
2019-12-30 02:00:00+00:00,58.804738125,49.08071437500001,80.963075625,90.72151937499999
2019-12-30 03:00:00+00:00,65.89793250000001,57.180801875,140.45083875,168.758625
2019-12-30 04:00:00+00:00,52.183059375000006,45.09512812500001,502.6866675,1772.6560056249998
2019-12-30 05:00:00+00:00,65.59880882352941,59.868724117647076,190.3623911764705,1072.9300352941177
2019-12-30 06:00:00+00:00,82.0642938888889,77.51213277777777,227.61202333333333,1879.4684211111114
2019-12-30 07:00:00+00:00,108.39566555555557,106.54173222222221,202.31852277777776,840.0307472222223
2019-12-30 08:00:00+00:00,73.25661166666666,77.31235555555557,151.43906611111115,163.64710111111114
2019-12-30 09:00:00+00:00,70.7988877777778,73.59985833333333,91.69333111111114,97.14800333333332
2019-12-30 10:00:00+00:00,62.12848333333333,63.65986666666668,73.09226888888888,76.69719944444445
2019-12-30 11:00:00+00:00,57.63988578947368,59.01422157894738,66.6615294736842,69.94610631578946
2019-12-30 12:00:00+00:00,51.509178000000006,52.89643199999999,59.5576095,61.84560849999999
2019-12-30 13:00:00+00:00,45.239217000000004,46.97782100000002,50.378095499999986,51.40580000000001
2019-12-30 14:00:00+00:00,39.84199999999999,41.175694,40.80709450000001,39.76240599999999
2019-12-30 15:00:00+00:00,38.42199999999999,39.304303999999995,37.793737,36.577803
2019-12-30 16:00:00+00:00,38.788,39.341978,36.28450399999999,35.738524
2019-12-30 17:00:00+00:00,42.219411764705875,41.929518823529406,42.428065294117644,40.77397411764706
2019-12-30 18:00:00+00:00,48.91898142857143,48.08692071428571,51.447137857142856,49.04689
2019-12-30 19:00:00+00:00,46.85780142857141,45.74586999999999,78.94933428571427,52.42259214285714
2019-12-30 20:00:00+00:00,45.24499999999999,41.308699999999995,79.43828642857144,52.312982857142856
2019-12-30 21:00:00+00:00,41.75214285714286,36.71259642857143,41.79685571428571,41.15935571428572
2019-12-30 22:00:00+00:00,42.37500000000001,37.37539714285714,36.49764,38.06899785714286
2019-12-30 23:00:00+00:00,43.31455999999999,39.590703999999995,32.81117066666667,35.10784266666668
2019-12-31 00:00:00+00:00,45.63846250000001,41.77719875,31.594539999999995,34.53439125
2019-12-31 01:00:00+00:00,45.759542499999995,42.09060875,29.505106249999997,32.21502625
2019-12-31 02:00:00+00:00,49.38328812500001,46.436378749999996,29.712766875000003,32.282530625
2019-12-31 03:00:00+00:00,52.501379375,49.4100975,32.75213562500001,35.04317125
2019-12-31 04:00:00+00:00,59.045378125,52.19545187500001,41.68825500000001,44.3796375
2019-12-31 05:00:00+00:00,78.27649882352942,70.02295235294118,57.4773682352941,61.899494117647066
2019-12-31 06:00:00+00:00,81.59339444444441,74.96540388888889,65.82861722222222,68.18797444444445
2019-12-31 07:00:00+00:00,73.08204777777777,70.93452388888889,68.71884055555554,68.03338166666667
2019-12-31 08:00:00+00:00,70.81510722222224,71.14217833333335,74.56390444444443,71.41785888888887
2019-12-31 09:00:00+00:00,58.415531666666666,60.12839333333333,65.46245444444445,61.36511777777777
2019-12-31 10:00:00+00:00,54.281782222222226,55.253105555555564,63.479846111111115,58.64221999999999
2019-12-31 11:00:00+00:00,54.9609447368421,56.37611736842107,63.25821631578948,59.01567947368421
2019-12-31 12:00:00+00:00,52.29081399999999,53.7921255,65.379549,61.333512999999996
2019-12-31 13:00:00+00:00,49.913734500000004,51.842936499999986,89.1851105,82.77018900000002
2019-12-31 14:00:00+00:00,49.244,50.90201050000001,69.67450349999999,63.45257950000001
2019-12-31 15:00:00+00:00,49.088,50.26897499999999,65.0244475,58.781198
2019-12-31 16:00:00+00:00,49.06399999999999,50.30985849999998,62.832935500000005,56.126442999999995
2019-12-31 17:00:00+00:00,48.97235294117645,49.11204176470589,61.46723647058823,54.68493882352941
2019-12-31 18:00:00+00:00,48.115714285714276,48.27954857142858,59.58007714285716,53.350032857142864
2019-12-31 19:00:00+00:00,44.66710357142857,43.67801857142858,54.63074571428571,49.18921214285714
2019-12-31 20:00:00+00:00,37.45428571428571,33.729956428571434,44.86606857142857,40.673564999999996
2019-12-31 21:00:00+00:00,35.38428571428572,30.258350714285715,39.053757857142855,35.47599357142857
