,d_price_NSW,d_price_QLD,d_price_SA,d_price_VIC,d_scheduledGeneration_NSW,d_scheduledGeneration_QLD,d_scheduledGeneration_SA,d_scheduledGeneration_VIC,scheduledGeneration_NSW,scheduledGeneration_QLD,scheduledGeneration_SA,scheduledGeneration_VIC,temperature_NSW,rainProb_NSW,windSpeed_NSW,windDirection_NSW,cloudCover_NSW,pressure_NSW,temperature_QLD,rainProb_QLD,windSpeed_QLD,windDirection_QLD,cloudCover_QLD,pressure_QLD,temperature_VIC,rainProb_VIC,windSpeed_VIC,windDirection_VIC,cloudCover_VIC,pressure_VIC,temperature_SA,rainProb_SA,windSpeed_SA,windDirection_SA,cloudCover_SA,pressure_SA,d_temperature_NSW,d_rainProb_NSW,d_windSpeed_NSW,d_windDirection_NSW,d_cloudCover_NSW,d_pressure_NSW,d_temperature_QLD,d_rainProb_QLD,d_windSpeed_QLD,d_windDirection_QLD,d_cloudCover_QLD,d_pressure_QLD,d_temperature_VIC,d_rainProb_VIC,d_windSpeed_VIC,d_windDirection_VIC,d_cloudCover_VIC,d_pressure_VIC,d_temperature_SA,d_rainProb_SA,d_windSpeed_SA,d_windDirection_SA,d_cloudCover_SA,d_pressure_SA,price.Forecast_NSW,scheduledGeneration.Forecast_NSW,price.Forecast_QLD,scheduledGeneration.Forecast_QLD,price.Forecast_VIC,scheduledGeneration.Forecast_VIC,price.Forecast_SA,scheduledGeneration.Forecast_SA,d_price.Forecast_NSW,d_scheduledGeneration.Forecast_NSW,d_price.Forecast_QLD,d_scheduledGeneration.Forecast_QLD,d_price.Forecast_VIC,d_scheduledGeneration.Forecast_VIC,d_price.Forecast_SA,d_scheduledGeneration.Forecast_SA,year,month,day,dayofweek,dayofyear,is_quarter_end,hour
2019-12-07 09:00:00+00:00,-7.832361111111126,-23.71214166666668,-7.774032222222232,-5.912578333333357,-9.599444444445908,-238.29172222222041,10.506722222221924,-50.5832222222225,7356.652333333333,8182.894222222223,1077.6860555555554,4066.2501666666667,20.157894736842106,5.578947368421052,22.736842105263158,125.73684210526316,29.105263157894736,1014.1210526315791,27.9375,5.375,23.375,107.0,22.375,1010.3625,16.2,5.0,10.2,203.0,15.933333333333334,1018.0133333333332,23.133333333333333,5.0,10.6,160.93333333333334,50.53333333333333,1015.64,-0.5789473684210513,0.36842105263157876,-3.05263157894737,7.0,-3.0526315789473664,1.6263157894735514,-1.5625,-0.5625,-2.1875,18.0625,5.5,1.2375000000000682,-1.2666666666666657,0.0,-1.4666666666666668,0.0,-0.9333333333333336,0.8933333333330893,-1.8666666666666671,0.0,0.7999999999999989,-31.333333333333343,3.3999999999999986,0.4399999999999409,74.20942,7295.670199999999,76.512837,8212.9856,70.904919,4030.3983,69.051283,1043.6948999999997,-7.162250000000014,-30.09100000000035,-31.17385499999999,-238.63310000000092,-5.546640999999994,-72.80180000000018,-7.54525799999999,-0.2519000000002052,2019,12,7,5,341,False,9
2019-12-07 10:00:00+00:00,-6.890337222222257,-8.23546222222221,-4.4786177777777425,-6.101602222222212,-255.17733333333217,-515.8974444444466,-287.55705555555517,-13.027388888889163,7101.475000000001,7666.9967777777765,790.1290000000002,4053.2227777777775,19.94736842105263,7.421052631578948,19.210526315789473,130.3684210526316,30.157894736842106,1015.5157894736843,27.3125,5.5625,22.75,119.75,23.875,1011.4125,15.266666666666667,5.0,7.666666666666667,201.46666666666667,18.333333333333332,1018.6933333333334,20.466666666666665,5.0,10.533333333333333,138.06666666666666,55.86666666666667,1016.1066666666667,-0.21052631578947612,1.8421052631578956,-3.526315789473685,4.631578947368425,1.05263157894737,1.3947368421052033,-0.625,0.1875,-0.625,12.75,1.5,1.0500000000000682,-0.9333333333333318,0.0,-2.5333333333333323,-1.5333333333333314,2.3999999999999986,0.6800000000001774,-2.666666666666668,0.0,-0.06666666666666643,-22.866666666666674,5.333333333333336,0.466666666666697,69.690813,6967.178999999999,69.425005,7724.110200000001,67.706035,4014.2009999999996,67.801771,717.3082,-4.518606999999989,-328.4911999999995,-7.087832000000006,-488.875399999999,-3.1988840000000067,-16.19730000000027,-1.2495119999999957,-326.3866999999997,2019,12,7,5,341,False,10
2019-12-07 11:00:00+00:00,-6.77075540935671,-4.699822602339182,-8.986317514619891,-8.356619561403512,-187.84831578947433,-611.1538830409354,-218.0883684210528,-44.68009356725133,6913.626684210527,7055.842894736841,572.0406315789475,4008.542684210526,19.57894736842105,11.894736842105264,17.736842105263158,132.68421052631578,35.0,1016.8315789473684,26.25,6.25,23.3125,131.0,26.5625,1012.31875,14.466666666666667,5.0,6.266666666666667,187.66666666666666,20.8,1019.4933333333333,18.8,5.0,10.8,126.2,59.666666666666664,1016.4399999999999,-0.36842105263157876,4.473684210526316,-1.473684210526315,2.315789473684191,4.842105263157894,1.315789473684049,-1.0625,0.6875,0.5625,11.25,2.6875,0.90625,-0.8000000000000007,0.0,-1.4000000000000004,-13.800000000000011,2.4666666666666686,0.7999999999999545,-1.6666666666666643,0.0,0.2666666666666675,-11.86666666666666,3.799999999999997,0.33333333333325754,64.08412181818181,6857.209727272727,67.21864454545454,7016.728636363637,60.396074545454546,3987.4537272727275,59.85523181818182,554.9647272727273,-5.606691181818192,-109.96927272727225,-2.206360454545461,-707.3815636363643,-7.309960454545454,-26.747272727272048,-7.946539181818181,-162.3434727272728,2019,12,7,5,341,False,11
2019-12-07 12:00:00+00:00,-2.1626358684210345,-2.0539643421052745,-1.3797247631578955,-0.7405556052631468,-201.69408421052685,-419.77474473684015,-69.04863157894744,-30.308734210525927,6711.9326,6636.068150000001,502.992,3978.2339500000003,18.94736842105263,9.31578947368421,15.842105263157896,124.57894736842105,39.526315789473685,1017.3421052631577,25.9375,7.8125,21.6875,145.0625,29.3125,1012.91875,13.6,5.466666666666667,4.466666666666667,183.06666666666666,28.666666666666668,1019.6866666666666,18.0625,5.0,11.0,128.125,55.625,1016.44375,-0.6315789473684212,-2.578947368421053,-1.894736842105262,-8.105263157894726,4.526315789473685,0.5105263157893205,-0.3125,1.5625,-1.625,14.0625,2.75,0.6000000000000227,-0.8666666666666671,0.4666666666666668,-1.7999999999999998,-4.599999999999994,7.866666666666667,0.19333333333327118,-0.7375000000000007,0.0,0.1999999999999993,1.9249999999999972,-4.041666666666664,0.0037500000000818545,62.4769525,6704.121,66.3031375,6556.706916666666,59.7617775,3977.3332499999997,58.2897175,515.2233333333334,-1.6071693181818105,-153.08872727272683,-0.9155070454545324,-460.02171969697065,-0.6342970454545451,-10.12047727272784,-1.565514318181819,-39.7413939393939,2019,12,7,5,341,False,12
2019-12-07 13:00:00+00:00,-1.9175520000000006,-1.416357999999974,0.7065749999999866,-0.04389350000001713,-209.13104999999814,-509.17684999999983,-5.108749999999986,-7.933450000000448,6502.801550000002,6126.891300000001,497.88325000000003,3970.3005,18.95,9.9,16.6,118.5,43.4,1017.4549999999999,25.41176470588235,7.529411764705882,20.470588235294116,156.58823529411765,34.588235294117645,1013.0823529411765,13.5,5.875,2.25,182.875,36.625,1019.7062500000001,17.25,5.0,10.8125,114.375,52.125,1016.0500000000002,0.0026315789473692064,0.5842105263157897,0.7578947368421058,-6.078947368421055,3.8736842105263136,0.11289473684223594,-0.5257352941176485,-0.28308823529411775,-1.216911764705884,11.525735294117652,5.275735294117645,0.1636029411764639,-0.09999999999999964,0.4083333333333332,-2.216666666666667,-0.19166666666666288,7.958333333333332,0.01958333333345763,-0.8125,0.0,-0.1875,-13.75,-3.5,-0.39374999999984084,61.75103250000001,6459.365916666667,64.6392075,6075.105499999999,60.99195500000001,3977.334166666666,60.40400916666667,512.8420833333333,-0.725919999999995,-244.75508333333346,-1.6639300000000077,-481.6014166666673,1.2301775000000106,0.0009166666663986689,2.1142916666666665,-2.3812500000000227,2019,12,7,5,341,False,13
2019-12-07 14:00:00+00:00,-8.266513000000003,-8.495731500000005,-11.291965999999995,-10.394488500000001,-611.5345500000012,-310.34270000000015,-58.6429500000001,-1.0336499999998523,5891.267000000001,5816.548600000001,439.24029999999993,3969.26685,18.75,10.05,16.35,113.0,40.65,1017.3300000000002,24.941176470588236,9.941176470588236,18.823529411764707,163.1764705882353,43.76470588235294,1013.0411764705883,12.9375,5.625,1.4375,180.125,47.9375,1019.4625000000001,16.375,5.0,10.875,113.0,52.375,1015.5999999999999,-0.1999999999999993,0.15000000000000036,-0.25,-5.5,-2.75,-0.12499999999977263,-0.470588235294116,2.4117647058823533,-1.6470588235294095,6.588235294117652,9.176470588235297,-0.041176470588197844,-0.5625,-0.25,-0.8125,-2.75,11.3125,-0.24374999999997726,-0.875,0.0,0.0625,-1.375,0.25,-0.45000000000027285,56.406844166666666,5773.3516666666665,57.529655,5828.947666666667,53.64447416666666,3977.3347500000004,52.1807325,461.1671666666667,-5.344188333333342,-686.0142500000002,-7.1095524999999995,-246.15783333333184,-7.34748083333335,0.0005833333343616687,-8.22327666666667,-51.67491666666666,2019,12,7,5,341,False,14
2019-12-07 15:00:00+00:00,-10.966797500000006,-12.749782500000016,-12.461640000000003,-13.590994499999994,-606.37525,-163.26970000000165,-95.28854999999987,24.886850000000322,5284.891750000001,5653.278899999999,343.95175000000006,3994.1537000000003,18.45,10.15,13.0,107.25,45.3,1017.1899999999999,24.470588235294116,7.529411764705882,17.470588235294116,172.23529411764707,46.0,1012.829411764706,12.6875,5.25,1.6875,180.125,54.0625,1019.04375,16.1875,5.0,11.0625,105.8125,54.75,1014.9625,-0.3000000000000007,0.09999999999999964,-3.3500000000000014,-5.75,4.649999999999999,-0.14000000000021373,-0.47058823529411953,-2.4117647058823533,-1.3529411764705905,9.058823529411768,2.235294117647058,-0.21176470588227403,-0.25,-0.375,0.25,0.0,6.125,-0.4187500000000455,-0.1875,0.0,0.1875,-7.1875,2.375,-0.6374999999999318,44.76551499999999,5247.23625,45.23668416666667,5659.9214999999995,41.406150000000004,3992.582833333334,40.3713325,362.91625,-11.641329166666672,-526.1154166666665,-12.292970833333328,-169.02616666666745,-12.238324166666658,15.248083333333398,-11.809399999999997,-98.25091666666668,2019,12,7,5,341,False,15
2019-12-07 16:00:00+00:00,0.8999060000000085,-0.7378375000000048,-0.8949659999999895,-0.9691339999999968,-301.8921,24.68080000000009,31.248149999999953,-141.4680000000012,4982.999650000001,5677.959699999999,375.1999,3852.685699999999,18.05,8.2,12.75,103.8,53.95,1017.0049999999999,24.11764705882353,8.882352941176471,15.470588235294118,173.52941176470588,52.470588235294116,1012.864705882353,11.9375,5.25,1.0625,170.375,54.6875,1018.7812499999999,16.375,5.0,10.875,94.3125,56.6875,1014.3499999999999,-0.3999999999999986,-1.950000000000001,-0.25,-3.450000000000003,8.650000000000006,-0.18500000000005912,-0.352941176470587,1.3529411764705888,-1.9999999999999982,1.2941176470588118,6.470588235294116,0.03529411764691304,-0.75,0.0,-0.625,-9.75,0.625,-0.26250000000015916,0.1875,0.0,-0.1875,-11.5,1.9375,-0.6125000000000682,43.49202499999999,4981.729416666667,42.89362166666666,5686.342833333333,39.784259999999996,3867.7495000000004,38.073055833333335,373.3331666666667,-1.2734900000000025,-265.5068333333329,-2.343062500000009,26.421333333333678,-1.6218900000000076,-124.83333333333348,-2.2982766666666663,10.416916666666737,2019,12,7,5,341,False,16
2019-12-07 17:00:00+00:00,-3.8860667647058875,-4.012114764705871,-3.394994676470599,-3.5901601176470557,-44.30959117647035,-21.371935294116156,-33.802135294117704,3.6387117647068408,4938.69005882353,5656.587764705883,341.3977647058823,3856.324411764706,17.85,9.15,12.35,96.9,55.2,1017.1850000000001,23.941176470588236,14.0,14.411764705882353,177.41176470588235,55.05882352941177,1013.1529411764704,11.75,6.375,0.9375,163.3125,65.125,1018.7875,17.25,5.0,11.8125,90.0,59.25,1013.94375,-0.1999999999999993,0.9500000000000011,-0.40000000000000036,-6.8999999999999915,1.25,0.18000000000017735,-0.1764705882352935,5.117647058823529,-1.0588235294117645,3.882352941176464,2.588235294117652,0.2882352941174986,-0.1875,1.125,-0.125,-7.0625,10.4375,0.006250000000136424,0.875,0.0,0.9375,-4.3125,2.5625,-0.4062499999998863,39.68105777777778,4961.752333333334,38.91366555555556,5694.768,36.05430333333333,3881.443888888889,34.84180666666667,335.778,-3.81096722222221,-19.977083333333212,-3.9799561111111004,8.425166666666883,-3.7299566666666664,13.694388888888625,-3.2312491666666645,-37.55516666666671,2019,12,7,5,341,False,17
2019-12-07 18:00:00+00:00,-2.278566092436975,-2.083721806722693,-0.25509025210083536,-0.8360651680672362,27.14908403361278,-32.63619327731158,-69.8466218487394,25.64373109243752,4965.839142857143,5623.951571428572,271.5511428571429,3881.9681428571434,17.9,9.85,12.5,95.9,56.7,1017.4449999999999,23.88235294117647,14.294117647058824,12.705882352941176,182.7058823529412,59.11764705882353,1013.6529411764707,11.5625,5.5,1.0625,145.0625,56.0625,1018.7687500000001,17.529411764705884,5.0,12.529411764705882,90.0,57.64705882352941,1013.8352941176471,0.04999999999999716,0.6999999999999993,0.15000000000000036,-1.0,1.5,0.2599999999998772,-0.0588235294117645,0.29411764705882426,-1.7058823529411775,5.29411764705884,4.058823529411761,0.5000000000002274,-0.1875,-0.875,0.125,-18.25,-9.0625,-0.018749999999954525,0.279411764705884,0.0,0.7169117647058822,0.0,-1.602941176470587,-0.1084558823529278,40.14935833333333,5129.618,39.472118333333334,5665.500333333333,37.224105,3911.3323333333337,37.114079999999994,260.3326666666667,0.46830055555555106,167.86566666666658,0.5584527777777737,-29.267666666666628,1.1698016666666717,29.888444444444758,2.272273333333324,-75.44533333333334,2019,12,7,5,341,False,18
